2018/09/04/02:28:15 | F1 V 4.09 0.00
2018/09/04/02:28:15 | F1 W 4698.30 24290.59 29145.53 1341.46 23286.41 330999.47
2018/09/04/02:28:15 | F1 T 26.56 24.75
2018/09/04/02:28:15 | F1 D 
2018/09/04/02:28:15 | F3 V 4.09 0.00
2018/09/04/02:28:15 | F3 W 1135.72 7957.88 28750.01 12401.48 20176.99 32041.26
2018/09/04/02:28:15 | F3 T 26.56 27.50
2018/09/04/02:28:15 | F3 D 
2018/09/04/02:28:16 | F0 V 4.10 0.00
2018/09/04/02:28:16 | F0 W 6394.26 6733.92 1722.70 9253.46 290882.63 34349.89
2018/09/04/02:28:16 | F0 T 26.50 27.44
2018/09/04/02:28:16 | F0 D D5 7.77 0.09 27.3
2018/09/04/02:28:17 | F5 V 4.08 0.00
2018/09/04/02:28:17 | F5 W 2016.47 14870.37 22579.62 1849.42 24994.39 29754.02
2018/09/04/02:28:17 | F5 T 27.00 26.75
2018/09/04/02:28:17 | F5 D 
2018/09/04/02:28:20 | F4 V 4.08 0.00
2018/09/04/02:28:20 | F4 W 1430.18 25520.83 3400003.30 3676.47 23000.00 23874.18
2018/09/04/02:28:20 | F4 T 26.50 26.63
2018/09/04/02:28:20 | F4 D 
2018/09/04/02:38:13 | FG V 4.09 0.00
2018/09/04/02:38:14 | FG W 3994.55 36500.00 29045.80 1541.94 14730.09 23504.45
2018/09/04/02:38:14 | FG T 25.56 26.38
2018/09/04/02:38:14 | FG D
2018/09/04/02:38:14 | FB V 4.08 0.00
